کمي,scarcity
مخفي کردن,hide
مخفي شدن,hide
چرم,leather
پنهانشدن,hide
نهفتن,hide
اخفاء کردن,hide
پنهان شدن,hide
پناه دادن,hide
روي نشان ندادن,hide
بلانهپناه بردن,hide
پناه يافتن,hide
غايب موشک,hide and seek
کاملا پنهان کردن,hide completly
مخفيگاه,hide out
نهانگاه,hideaway
مخفي گاه,hiding place
ساتره,hider
پناه دادن به,hiding
پنهان سازي,hiding
پنهان کاري,hiding
اخفاء,hiding
جاسازي,hiding place
زود رفتن,hie
سرکشيش,hierarch
شيخ قبله,hierarch
سلسله مراتب,order of heirarchy
هيروگليف,hieroglyph
شامخ,high
منيع,lofty
شاهق,high
آسمان پايه,lofty
بو گرفته,smelly
منيف,high
مرتفع,high
رفيع,lofty
بلند,tall
متعال,sublime
مزايدهومناقسه,high bid and low bid
مزايده و مناقسه,high bid and low bid
چکمه,high boot
بلند خيال,high flying
ياوه انديش,high flying
پردرآمد,rich
پرش ارتفاع,high jump
مقام منيع,high position
کاهن اعظم,high priest
علو مقام,supereminence
بلند پايه,high rank
عالي رتبه,ranking
صاحب منصب,ranking officer
دبستان,high school
دبيرستان,school
مدرسه متوسطه,high school
مد دريا,high water
پربسامد,high-frequency
اشرافي ماب,high-hat
بامناعت,high-minded
مناعت,high-mindedness
بزرگي طبع,high-mindedness
بزرگ منشي,high-mindedness
بلند آشيان,high-nested
بالارتبه,senior
عاليرتبه,senioe
تيمسار,high-ranking officer
پرفشار,high-tension
چراق بالا,highbeam
نيک نژاد,highborn
پاک زاد,highborn
عالم ودانشمند,highbrow
والاتر,higher
عضو ارشد,higher up
کوهسار,highland
اهم,ohm
پر منزلت,highly respected
علام,learned
والاحضرت,highness
ديپلمه,highschool graduate
جاده,road
راهبان,road-guard
دزد سرگردنه,sandbagger
رباينده,robber
هواپيما دزد,hijacker
راه نورد,wayfarer
راه پيما,wayfarer
حکمت الحجو,Hikmat El Hiju
شوق وشعف,hilarity
ماهور,hill
دهاتي,villager
گريوه,hillock
هذلول,hillock
دامنه کوه,hillside
مانع شدن,prevent
پاي گاو,hindquarter
سبب تاخير,hindrance
عايق,obstacle
بازماندگي,survival
وراديد,hindsight
هندو,Hindu
منوط بودن,hinge
لولا,joint
لولائي,hinged
ايمًا,sign
مفصل ران,hip
ورک,hip bone
منافق,seditious
اسب آبي,hippo
بقراط,Hippocrates
اسپريس,racecourse
چاربند,hips
نوپرست,hipster
هيراد,Hirad
کرايه کردن,hire
مزدور کردن,hire
اجير کردن,hire
اجير,mercenary
مزدور,wage earner
مزدبگير,hired worker
مزدوري,hired working
هيرمند,Hirmand
هيروشيما,Hiroshima
شت,his holiness
معظم له,his honor
اعليحضرتا,His Majesty
هشام عبوس,Hisham Abus
سيخک دار,hispid
هيس کردن,hiss
بافت شناس,histologist
بافت شناسي,histology
مکتب تاريخي,historcicism
تاريخ دان,historian
تاريخ نويس,historian
تاريخي,historic
سند تاريخي,historical document
رويداد تاريخي,historical event
تواريخ,histories
وقايع نويس,recorder
صحنه سازي,scenery
باشدت زدن,strike
ضربه زدن,hit
زدن,play
بالا زدن,tuck up
توسري زدن,hit over the head
بهدف زدن,hit target
هيتاچي,Hitachy
مسافرت مفتي,hitchhike
به اينجا,hither
تاکنون,so far
تابحال,so far
هيتلر,Hitler
زدني,playable
مرکز تجمع,hive
کهير,nettle rash
هژبر,lion
هو شي مينه,Ho Chi Minh
هوشي مينه,Ho Chi Minh
احتکار کردن,hoard
محتکر,hoarder
اذخار,hoarding
احتکار,hoarding
اريز,hoarfrost
سرما ريزه,rime
خفگي صدا,hoarseness of voice
حقه بازي کردن,hoax
سنبه قالب,hob
گل ميخ زدن,hob
سرگرمي,hobby
کار تفريحي,hobbyhorse
زشت وموذي,hobgoblin
ميخ سرپهن,nail
پشت زانو,hock
فريب دهنده,hocus
ذغالدان,scuttle
ناوه,hod
هدي,Hoda
کج بيل زدن,hoe
بيل زن,hoer
خوک,pig
جوراب فروش,hoiser
بر افراشتن,raise
مقدار کشش,hoist
حجت الاسلام,Hojat al Eslam
حجت الله,Hojjatallah
هوکايدو,Hokaydo
ميمون صفتي,hokeypokey
هلاکو,Holakoo
برگزار کردن,hold
دردست داشتن,hold
متمسک شدن,hold
در دست داشتن,hold
عقد کردن,marry
انبارکردن,store
نگاهداري,support
مسابقه گذاشتن,running race
مجلس داشتن,hold meeting
تشکيل جلسه دادن,hold a meeting
مجلس کردن,hold meeting
محکم گرفتن,hold fast
خن,hold of a ship
وايسا,hold on a minute
احترام قائل بودن,respect
مسئول دانستن,hold responsible
مسئول کردن,put in charge
دارنده,owner
نگاه دارنده,holder
مسک,holding
ملک متصرفي,holding
معتصم,sinless
شرکت مرکزي,holding company
مستعصم,holding fast to
سوراخ,hole
غال,nest
ثقبه,hole
منفذ,passage
مزغل,hole
حفرهايجاد کردن,holed
سوراخ دار,holed
روز بيکاري,holiday
لقب پاپ,holiness
تقدس,holiness
هلند,Netherlands
عربده کردن,yell
فرياد خوشحالي,whoopee
هالريت,hollerith
جوف,inside
پوک کردن,hollow
ميالن تهي,hollow
گودافتاده,hollow
اجوف,hollow
غير صميمي,lukewarm
توگود,hollow
گودشده,hollow
تو خالي,hollow
پوکي,hollowness
ادوات فلزي,hollowware
راج,holly
سنديان,holm oak
خطمي,hollyhock
هاليوود,Hollywood
کشتار همگاني,holocaust
سند اصيل,holograph
همجنس خوار,holophytic
نمونه شاخص,holotype
بيگانه خوار,holozoic
منزه وپاکدامن,holy
مقدس,sacred
مطهر,pure
متبرک,sacred
عتبات,holy places
روحالقدس,Holy Spirit
غزوات,holy wars
مقدسين,holy
سنگ طلسم,holystone
هما,Homa
بيعت کننده,homager
کرنش کننده,homager
اقامت گاه,home
متبوع,home
ماوا,home
خانه,house
دولت متبوعه,home country
موقعيت مبدا,home position
خانه زاد,home-born
خانه پرورده,homebred
عازم ميهن,homecoming
وطن,native country
بي ماوا,homeless
بي خانه,homeless
بي سر و سامان,unsettled
بي مسکن,unaccommodated
بي خانمان,homeless
خيابانگرد,homeless person
بي سامان,unsettled
بيخانمان,homeless
آسمان جل,tramp
لامکان,placeless
آواره,refugee
دربدر,vagrant
خانه بدوش,homeless
آدم دربدر,homeless person
بيخانماني,homelessness
خانه بدوشي,homelessness
آوارهبودن,wandering
آوارگي,vagrancy
فاقد جمال,homely
مثل خانه,homely
ساخت ميهن,homemade
وطني,homemade
بيوتات,houses
غربت زده,nostalgic
بيمار وطن,homesick
احساس غربت,homesickness
بافت ميهني,homespun
مزرعه رعيتي,homestead
بطرف خانه,homeward
حميرا,Homeyra
آدمکشي,murder
کبوتر جلد,homing pigeon
جور دنده,homodont
تجانس,homogeneity
همجنس,homogeneous
متجانس,similar
هم جنسي,homology
متجانس کردن,homogenize
شناسي زيست,homogonous
متشابه کردن,homologize
هم صدا,homonymous
هم اسم,namesake
همنام,namesake
شباهت فاميلي,homophyly
همبالان,Homoptera
نوع انسان,homosapienses
همجنسباز,homosexual
مابون,homosexual
جورهاگ,homosporous
خرد,yong
گور زاد,homunculus
هنردخت,Honardokht
هندوراس,Honduras
سنگ چاقو تيز کن,hone
درست کار,righteous
درستکار,honest
بيغل وغش,honest
صادق,truthful
راست کار,honest
راستکار,honest
بي ريا,sincere
درستکارانه,honestly
خلوص,sincerity
درستکاري,honesty
بيريايي,honesty
راست کاري,honesty
امانت,trust
صداقت,loyalty
راست گويي,honesty
انگبين,honey
شهد,nectar
زنبورعسل,honey bee
عسلي,stool
شانه عسل,honeycomb
زنبوري,honeycombed
شبنم انگبيني,honeydew
عسلک,honeydew
شهد نباتي,honeydew
خربزه,melon
شهددار,juicy
ماهعسل,honeymoon
ماه عسل رفتن,honeymoon
گل پيچ امين الدوله,honeysuckle
هنگکنگ,Hong Kong
هنگ کنگ,Hong Kong
بوق زدن,honk
تشرف,honor
عز,honor
تکريم,reverence
بزرگداشت,respect
ناموس,principle
بزرگ داشتن,respect
احترام گذاردن,revere
بزرگواري,honor
اکرام نمودن,honor
اکرام کردن,honor
شاگرد اول,honor student
باشرف,honorable
بزرگوار,honorable
بالانشين,wealthy
ماجد,honorable
محترم,Mohtaram
مکرم,honorable
باشرافت,honorable
جليلالقدر,honorable
شايان تعريف,honorable
لايق احترام,honorable
شرافتمندانه,honorable
آبرومند,respectable
شريف,respectable
شرافتمند,noble
افتخاري,honorary
درجه افتخاري,honorary
دکتراي افتخاري,honorary doctorate
سرافراز,respected
شرفياب,honored
تجليلي,honorific
افتخار آميز,honorific
عنوان تجليلي,honorific
اکرام,honoring
تفخيم,honoring
تشريف,honoring
هونولولو,Honululu
کاپوت ماشين,hood
باشلق,hood
کوروک,hood
کروک دار,hooded
مرد کلاهدار,hoodman blind
باسم زدن,hoof
سنب,hoof
پاي کوبيدن,hoof
سمدار,hoofed
قلاب,hook
منقار عقابي,hook bill
دماغ عقابي,hooked nose
قلاب انداز,hooker
اشرار,hooligans
شانه بسر,hoopoe
لي لي کردن,hop
رازک,hop
آرزو کردن,hope
اميد داشتن,hope
اميدوار بودن,hope
چشم انتظاري,hope
اميدواري,hope
اميد,Omid
آرزو داشتن,hope
رجاء واثق داشتن,hope with sincerity
اي کاش,hopefully
بدون اميد,hopeless
آمال,wishes
ارتجاء,hoping
بي آرزو,hopless
ساعت بساعت,horary
گروه ترکان,horde
گروه بيشمار,horde
کرانه آسماني,horizon
افق فکري,horizon
افق,region
سطح افقي,horizontal
ترازي,horizontal
افقي,horizontal
حرمت,reverence
هورمون,hormone
هرمز,Hormoz
شخ,stiff
ممرز,hornbeam
شاخي,horned
شاخدار,horned
زرنا,hornpipe
شهوتي,horny
وقت سنج,horologe
ساعت سازي,horology
وقت شناسي,punctuality
زيج,horoscope
مخوف,horrible
هائل,tragic
دهشتناک,horrible
هولناکي,horrification
به بيم انداختن,horrify
بهراس انداختن,scare
مورمور,shivers
دهشت,horror
پيش خوراک,hors d'oeuvre
اسب,horse
سواره نظام,yeomanry
اسب دواني,horse-race
سواره,horse rider
اسب سوار,horse rider
اسب ران,horse rider
اسب سواري,horse-riding
اسب دواني کردن,horse-back riding
خر مگس,horsefly
مگس اسب,horsefly
سوار کار,rider
شوخي خرکي,prank
ورجه فروجه,horseplay
اسب بخار,horsepower
مخفف آن,horsepower
کم فروشي,hortchanging
باغباني علمي,horticulture
هوشيعانا,hosanna
شيلنگ,hose
شلنگ,stride
لوله,pipe
حسيناصغر,Hoseyn Asghar
حسينرضا,Hoseyn Reza
جوراب فروشي,hosiery
جوراب بافي,hosiery
غريب نواز,hospitable
در خانه باز,open-doored
درخانه باز,hospitable
مهمان نوازانه,hospitable
بيمارستان,hospital
دارالشفاء,hospital
مريضخانه,hospital
غريب نوازي,hospitality
غريب پروري,hospitality
دربيمارستان بستري,hospitalization
حسين,Hossein
حسينآقا,Hossein Agha
حسينعلي,Hossein Ali
حسينقلي,Hossein Gholi
ميزبان,hostess
مهمان دار,host
مهماندار,stewardess
شخص گروي,hostage
گرو,strike
اسير,hostage
گروگان,hostage
گروگانگيري,take pledge
اسرا,hostages
پانسيون,hostel
بانوي صاحبخانه,hostess
زن مهماندار,hostess
مخاصم,hostile
متخاصم,hostile
خصمانه,hostile
خصومتآميز,hostile
عمليات خصمانه,hostility
مخاصمه,hostility
مهمانخانه دار,restaurateur
تيز,spiky
تند مزه,hot
پر حرارت,steamy
سوزاننده,hot
حاره,torrid
پرحرارت,hot
حار,hot
محرور,hot
صندلي الکتريکي,hot seat
تند مزاجي,hot temper
تندخو,hot tempered
تند مزاج,irascible
تند طبع,irascible
هتل,hotel
مهمان خانه,inn
مسافر خانه,inn
مهمانخانهدار,inn keeper
سراسيمه رفتن,hotfoot
بطور گرم,hotly
باگرمي,hotly
جنگ خونين,hotwar
پاپي شدن,insist
باتازي شکار کردن,hound
سگ تازي,hound
تازي,hound
مدت کم,hour
ساعته,hour
نصف النهار,hour circle
ساعت ريگي,sandglass
ساعت شمار,hour hand
ساعات,hours
منزل,house
چهارديواري,house
منزل گزيدن,house
منزل دادن,house
منزلگاه,lodging
مسکن دادن,house
سراي,world
چارديواري,house
خانه تکاني,house cleaning
خانهدار,house keeper
مجلس ايالتي,statehouse
مجل عوام,House of Commons
مجلس عوام,House of Commons
بيت الله,house of God
مجلس مبعوثان,house of representatives
بيت المال,house of treasury
مجالس خانگي,house party
جشن ورود,house warming party
بخانه دستبرد زدن,housebreak
مستخدمين خانه,household
اهل بيت,inmate
هنرخانه داري,household art
اثاث البيت,household furniture
مالک خانه,householder
خانه داري,housekeeping
اداره منزل,housekeeping
مستخدم خانه,houseman
منازل,houses
کدبانو,mistress
سوزن دان,needle-case
بچه وسيله,how
چطور,how come
چگونه,how
چسان,how
بدا,woe
چندوقت,how long
چه تعداد,how many
چند,several
چندبار,how many times
چند مرتبه,how many times
چه مقدار,how much
چقدر,what
چندوقت يکبار,how often
عجبا,how strange
بلعجب,how wonderful
با اينکه,howbeit
بهر حال,willy nilly
اگر چه,however
معهذا,however
لکن,however
زوزهکشيدن,howl
زوزه کشيدن,howl
زوزه,howl
جيغ زننده,howler
هر قدر,whatsoever
هرجور,howsoever
خفجه,howthorn
حر,liberal
مرکز فعاليت,hub
مرکز چرخ,hub
سرکاپ,hubcap
پارچه حوله,huckabach
کنفرانس مخفيانه,huddle
ناقص انجام دادن,huddle
اوقات تلخي کردن,huff
بغل کردن,hug
حجيم,voluminous
پيلتن,huge person
پرجثه,huge
بزرگ جثه,huge
کوه پيکر,huge
مطلب محرمانه,hugger mugger
معانقه,hugging
هم آغوش,hugging
فرانسوي پروتستان,huguenot
لاشه کشتي,hull
باسنگيني ورخوت,hulk
درشت استخوان,hulking
تنه کشتي,hull
زرزر,nonesense
درفعاليت بودن,hum
زمزمه کردن,hum
وزوز کردن,hum
همهمه کردن,hum
هومن,Human
هومان,Human
انسان,human
ادم,human
بشري,human
بشر,mankind
وابسته بانسان,human
آدميزاد,human being
اشرف مخلوقات,mankind
ناس,people
ناسوت,human nature
حق بشر,human right
حقوق بشر,human rights
پيشينه حقوق بشر,human rights record
بامروت,kind
مردمي,humane
انساني,humane
علوم انساني,humanities
بشريت,humankind
نوع دوستي,humanism
ادبيات وفرهنگ,humanism
بشر دوست,humanitarian
نوع پرست,humanitarian
بشر دوستي,humanitarianism
آدميت,humanity
انسانيت,urbanity
آدمي,humanity
نوع بشر,humankind
انسان پروري,humanization
متمدن سازي,humanization
انسان شدن,humanize
با مروت کردن,humanize
نژاد انسان,mankind
بطور انساني,humanly
فروتن,modest
عاجزانه,humble
زبون,tongue
خاکسار,Khaksar
فروتني کردن,humble
خاک صفت,humble
محقرانه,humble
خاشع,submissive
خاضع,submissive
زبون ساختن,humble
بي تکلف,unpretentious
بي تصنع,unpretentious
متواضع,unselfish
سربزير,submissive
افتاده حال,humble
جل و پلاس,humble belongings
خفض,humiliation
رطوبي,moist
شرجي,sweltering
مرطوب,wet
نم سنج,psychrometer
نمداري,moisture
حقير کردن,put down
تحقير آميز,humiliating
احساس حقارت,humiliation
مذلت,humiliation
سرافکندگي,shame
تحقير,humiliation
انفعال,shame
بي تکلفي,unpretentious
خضوع,humility
سربزيري,submissiveness
کوچکي,smallness
فروتني,modesty
درويشي,poverty
افتادگي,omission
شکستهنفسي,humility
خود شکني,humility
مرغ مگس خوار,hummingbird
انسانگراي,humnanist
خلط,mucus
لطيفه,humor
خلطي,humoral
لطيفهگو,wisecracker
فکاهي نويس,humorist
لطيفه گو,japer
بي مزاح,tasteless
فکاهي,joke
خوش مزه,tasty
بشوخي,humorously
شوخ طبعي,prank
کوهان شتر,hump
برآمدگي گرد,hump
کوهان,hump
گوژ,hunch
کول انداختن,hump
قوز,hunch
گوژپشت,hunchback
پيف کردن,humph
گيا خاک,humus
مخرب تمدن,hun
هون,Hun
کوهان دار,hunch back
قوز پشت,hunchback
صد,hundred
عدد صد,hundred
مآت,hundreds
صدها,hundreds
صدم,hundredth
آويخته,suspended
مجار,Magyar
مجارستاني,Hungarian
مجارستان,hungary
هونگاري,Hungary
جوع,hunger
گرسنه کردن,hunger
اعتصاب غذا,hunger strike
گشنه,hungry
گرسنگي آور,hungry
گرسنه,hungry person
سير نشده,unsaturated
سرپا ايستادن,hunker
نخجير,prey
نخجير کردن,hunt
شکار کردن,hunt
شکار,quarry
شکار خرگوش کردن,hunt rabbit
شکارچي,hunter
هانتر,Hunter
صيد,hunting
شکارگاه,hunting ground
نخجيرگاه,hunting place
صيدگاه,hunting place
صياد زن,huntress
شکار باز,huntsman
شکار گردان,huntsman
هيوگو,Huogo
چارچوب پريدن,hurdle
سبدترکه اي,hurdle
دو با مانع,hurdle race
حوري,nymph
پرتابه,shot
پرتاب,shot
پرآشوب,hurly
مرحبا,hurrah
تند باد,hurricane
معجل,quick
سراسيمه,in a confused state
معجلا,quickly
شتابيدن,hurry
شتافتن,hurry
تعجيل کردن,hurry
باشتاب انجام دادن,hurry
عجله کردن,make haste
درهم وبرهم,turbid
شتاب زدگي,hurry skurry
تند باش,hurry up
ياالله,let's go
زود باشيد,hurry up
آسيب ديدن,suffer injury
ظلم کردن,oppress
درد آوردن,hurt
جريحه دار کردن,hurt
درد بردن,hurt
جريحه کردن,hurt
مجروح,wounded
به درد آمدن,hurt
آزار ديدن,hurt
پر آزار,hurtful
حوريه,Huryeh
گياه پرطاقت,husband
شوهر,husband
شوي,husband
سرپرست خانه,husbandman
مخفي نگاهداشتن,hush
حقالسکوت,hush money
هوشنگ,Hushang
هوشمند,intelligent
هوشيار,Hushyar
بي سبوس کردن,husk
تکاپو,search
اغوا کننده,misleader
آلونک,hut
هوتن,Hutan
کلبه نشيني,hutment
گل سنبل,hyacinth
دوتخمه,hybrid
جفت کردن,mate
مار آبي,hydra
هيدارت,hydrate
هيدروليک,hydraulic
هيدروژن دار,hydric
آب درسر,hydrocephalous
هيدروکلري,hydrochlorine
هيدروالکتريک,hydroelectric
آب اکسيژنه,hydrogen peroxide
هيدروژني,hydrogenous
جانور مرجاني,hydroid
علم مياه,hydrology
شهد آب,mead
عسلاب,hydromel
آب بين,hydroscope
هيدروسل,hydrosol
آب درماني,hydrotherapy
گرمابي,hydrothermal
هيدروکسي,hydroxy
بهداشت,hygiene
حفظ الصحه,hygiene
رطوبت سنج,hygrometer
نم سنجي,hygrometry
نم نما,hygroscope
نم بين,hygroscope
هيدروسکوپ,hygroscope
پرده بکارت,hymen
سرود عروسي,hymeneal
دخترگي,hymen
سرودروحاني,hymn
سرود خواندن,sing
سرودي,hymnal
سرودنامه,hymnbook
سرود خواني,psalmody
سرودشناسي,hymnology
لامي,hyoid bone
هذلولي,hyperbola
شبه هذلولي,hyperbolic
اغراقي,hyperbolic
نقادموشکاف,hypercritic
دوربيني,hypermetropia
خيلي حساس,hypersensitive
پرکشش,hypertonic
خت اتحاد,hyphen
نشان اتصال,hyphen
خواب کننده,hypnagogic
نومي,hypnoidal
خواب شناسي,hypnology
خواب مغناطيسي,hypnotism
خواب آور,hypnotic
توليدکننده خواب,hypnotic
هيپنوتيزم,hypnotism
هيپنوتيزم کردن,hypnotize
منوم,soporific
هيپوسولفيت سديم,hypo
عامل محرک,hypo
مراق,hypochondria
لقب بچه گانه,hypocorism
زرق,hypocrisy
منافقت,hypocrisy
دورويي,hypocrisy
سالوس,hypocrite
تدليس,hypocrisy
زرق فروش,hypocrite
آرياکار,hypocrite
متصنع,hypocrite
دورو,hypocrite
رياکارانه,hypocritically
ريائي,hypocritical
باريا,hypocritical
زيرپوستي,hypodermic
تحت الجلدي,hypodermic
تحت الجلد,hypodermis
زير زميني,hypogeous
هيپو فيز,hypophysis
موجود فرضي,hypostasis
ستون دار,stelar
رهن گذاردن,hypothecate
نسبتا گرم,hypothermal
نهشته,hypothesis
قضيه فرضي,hypothesis
فرضيه,theory
برانگاشت,hypothesis
بر انگاشتن,hypothesize
نهشتي,hypothetical
سوالي,hypothetical
برانگاشتي,hypothetical
ارتفاع سنج,hypsometer
ارتفاع پيما,hypsometer
طبرستان,Mazandaran
زوفا,hyssop
پسماند,hysteresis
شبيه حمله,hysteroid
اينجانب,I
بنده,me
من,my
کاش,I wish
وتد مجموع,iamb
علم العلاج,iatrology
بز کوهي,ibex
در همانجا,ibidem
ابراهيم صالحبيک,Ibrahim Salehbick
بلند پرواز,icarian
يخ,ice
شکر پوش کردن,ice
مثل يخ,ice cold
بستني,ice cream
يخزار,ice field
کولمن,ice-chest
کيسهيخ,icebag
يخشناور,iceberg
توده يخشناور,iceberg
کوه يخ شناور,iceberg
يختاب,icebink
سورتمه يخي,iceboat
يخ بند,icebound
کشتي يخ شکن,icebreaker
توده يخغلتان,icefall
ايسلند,Iceland
جزيره ايسلند,Iceland
زبانايسلندي,icelandic
يخچال دار,iceman
خونابهاي,ichorous
ماهي شناس,ichthyologist
ماهي شناسي,ichthyology
ماهي خواري,ichthyphagy
ماهي ترسي,ichthyphobia
قنديل يخ,icicle
يخ پاره,icicle
قله يخ,icicle
بطور سرد,icily
تنديس,statue
بت شکني,iconoclasm
بت شکن,iconoclast
يخي,icy
يخمانند,icy
طرز فکر,mentality
نقشه کار,idea
مسلک,sect
انگاره,idea
معنوي,spiritual
ايدال,ideal
ايدآل,ideal
ايدهآل,ideal
هدف زندگي,ideal
معنويت,spirituality
خيال انديشي,idealism
آرزو پرور,idealist
ايدآليست,idealist
آرماني,idealistic
آرمان گراي,idealistic
دلخواهسازي,idealize
غيرهمفکر,non-sympathetic
طرز تفکر,ideology
دلخواهانه,idealy
افکار,thoughts
ماههاي رومي,ideas
وثن,idel
منطبق با,identic
هويت شناسي,identification
تعيينهويت,identification
آلائم اختصاصي,identification marks
تشخيص هويت دادن,identify
سناسائي کردن,identify
شناسايي کردن,identify
باز شناختن,recognize
اصليت,identity
مشابهت,resemblance
عينيت,identity
هماني,identity
هويت,identity
مارک تجارتي,ideograph
انگارگان,ideology
سبک مغزي,idiocy
انديشه نگار,idiographic
وابسته به مجاز,idiographic
در اصطلاح,idiomatically
اصطلاحاً,idiomatically
علاقه خاص,idiopathy
صفت خاص,idiopathy
ناخوشي جداگانه,idiopathy
شيوهويژههر نويسنده,idiosyncrasy
خصوصيات اخلاقي,idiosyncrasy
طبيعت ويژه,idiosyncrasy
نخاله,sifting
بي پروپا,idle
تنبل,sloth
تنبلي کردن,laze
عاطل,worthless
طامات,idle talk
مهملات,idle talks
مهملبافي,idle talks
تصورات واهي,idle thinking
چرخ دلاله,idler
بطالت,idleness
تنبلي,laziness
بيکاري,unemployment
مگس پراني,scaring flies
بيکاره,loafer
اتلاف وقت,wasting time
وقت کشي,idling
صنم,Sanam
بت,idol
معبود,object of worship
بتخانه,pagoda
بت پرست,idol worshipper
بت پرستي,idolatry
بت سازي,idolization
صنم قرار دادن,idolize
قصيده کوتاه,idyll
آيا,whether
در صورتي که,whereas
بفرض اينکه,if
اگرکه,in case
اگرچنانچه,if
اگر,if
چنانچه,in case
انشاء الله,if God pleases so
انشا الله,if God wants
آتش دار,igneous
آذرين,pyrogenic
شعله کمرنگ,ignisfatuus
مشتعل کردن,kindle
گيراندن,kindle
آتش گيري,ignition
راه انداز,starter
گيرانه,lighter
بد گوهر,ignoble
ناکس,mean
نا اصل,ignoble
کار زشت,ignominy
بيبصيرت,ignonarnt
ناديده گرفتن,ignor
ناشناسي,ignorance
جاهليت,Jahiliyyah
بيدانشي,ignorance
جهالت,ignorance
بي خبري,unawareness
جهل,ignorance
جاهل,unwise
جهول,ignorant
بيانش,uneducated
بيعلم,uneducated
لايعلم,ignorant
تيره دل,ignorant
بي مايه,superficial
جهلا,ignorant people
جاهلانه,ignorantly
جهال,ignorants
مشاغبه,ignoratio
بروي خود نياورد,ignore
چشم پوشي شدن,relinquish
نديده گرفتن,overlook
چشم پوشي,relinquish
چشم پوشيدن,ignore
چشم پوشي کردن,ignore
بياعتنايي کردن,ignore
برسميت نشناختن,ignore
ازقلم افتاده,ignored
اجتهاد,theological rank
دراز روده,small intestine
معاء غلاظ,large intestine
حرقفي,iliac
ايلاووس,iliac passion
ايلياد,Iliad
استخوان حرقفي,ilium
حرقفه,ilium
غير دوستانه,ill
بيمار,patient
ناخوش,unpleasant
دردمند,painfull
غير عاقلانه,unwise
غير متمدن,uncivilized
نينديشيده,ill considered
موجب بدبختي,ill fated
نگون بخت,unlucky
غير جذاب,unlikely
نا مشروع,unlawful
ناهمرنگ,ill matched
بد استقبال کردن,ill treat
بد فهماندهشده,ill-advised
اکردار,ill-behaved
بدفرجام,ill-fated
بدنيت,ill-intentioned
لنگه به لنگه,ill-mated
بد منش,wicked
بدخي,vicious
بدطبيعت,ill-natured
بدطبع,ill-natured
بدنهاد,ill-natured
کج نهاد,ill-natured
زشت خويي,ill-temper
بدقلق,moody
زشت خوي,ill-tempered
بدقلقي,moody
استنباطي,illative
منتج شونده,illative
نتيجه رسان,illative
خلاف قانون,illegal
حرام,unlawful
غير شرعي,unlawful
غير قانوني,wrongful
غير مشروع,sinistral
غيرمجاز,unallowable
نامشروع,unlawful
غيرقانوني,unlawful
حرامزاده,sly
خوانده نشدني,illegibility
ناخوانا,illegible
حرامزادگي,slyness
مخالف مقررات,illicit
محدود نشدني,illimitable
ايلينوي,Illinois
غير مايع,illiquid
بيسوادي,illiteracy
درس نخوانده,untaught
امي,illiterate
بي سواد,illiterate
بيماري,illness
ناخوشي,unpleasantness
دردمآندي,illness
غير منطقي,unappealing
بي منطق,irrational
منورشدني,illuminable
زرنما کردن,illuminate
چراغاني کردن,illuminate
تذهيب کردن,illuminate
تذهيب کاري کردن,illuminate
درخشانساختن,illuminate
چراقان کردن,illuminate
منور کردن,light up
تذهيب,illumination
چراغاني,illumination
اشراق,intuition
روشنسازي,illumination
اشتباه بصري,illusion
خيال باطل,illusion
غير واقعي,unrealistic
وهمي,unreal
موهومي,illusive
با تصوير نشان دادن,illustrate
بامثال روشنساختن,illustrate
مصور کردن,picture
مصور,painter
عکسا دار,pictured
نمايش,illustration
توضيح دهنده,illustrator
ته نشيني,sedimentation
ايليوشين,Ilyushin
ايما,Ima
شمايل,qualities
مجسمه سازي,plastic
تشبيهادبي,imagery
تصاوير,pictures
متصور,imagined
انگاشتني,imaginal
تجسمي,imaginary
انگاشتي,imaginary
تصوري,imaginary
انگاري,imaginary
پنداري,imaginary
موهوم,superstitious
خيالي,imaginary
تخيلي,imaginary
تخيل,imagination
انگاشت,supposition
خيال,intention
مخيله,imagination
پندار,thought
پرپندار,imaginative
متخيله,imaginative
متخيل,imaginative
پر انگاشت,imaginative
قوه متخيل,imaginative faculty
قوه متخيله,imaginative faculty
تصور کردن,suppose
خيال کردن,imagine
انگاشتن,imagine
مجسمساختن,imagine
توهم داشتن,imagine
توهم کردن,imagine
تخيل کردن,imagine
مجسم,personified
تصوير برداري,imaging
مکتب تخيل,imagism
امام,Imam
امام علي رحمانف,Imam Ali Rahmanev
امامزاده,Imamzadeh
عدم توازن,unbalance
اختلال مشاعر,imbalance
بي تعادل,imbalanced
فلس فلس,scaly
سوء تفاهم,misunderstanding
خوب نفوذ کردن,imbue
عدم بلوغ,nonage
متاسي شدن,imitate
مقتدل,leader
بدلي,imitation
تقليد,imitation
تقليدي,imitative
تقليبي,imitative
منزهي,immaculacy
خالص,pure
ماندگار,persistent
درهمهجاحاضر,immanent
غيربالغ,immature
نارسيده,unripe
نا بالغ,immature
نارسي,immaturity
نابالغي,immaturity
پيمايش ناپذير,immeasurable
بي قياس,incomparable
بي اندازه,immeasurable
بي فاصلگي,immediacy
قرب جواز,immediacy
بي درنگي,promptness
بلا فصل,immediate
فوري,immediately
بلا واسطه,immediate
بلافاصله,immediately
عاجلانه,immediately
بي درنگ,promptly
بيدرنگ,immediately
بلادرنگ,immediately
آني,instantantly
عاجلا,immediately
بهبود ناپذير,immedicable
